image name,type,Descripción,Category,Material,Precio (Colones)
744100161906,jpg,Jugo Dos Pinos Naranja 100% Natural - 1800 ml ,Bebibas,Botella de plástico,2595
744107412727,jpg,Agua De Pipa – 1800 ml,Bebibas,Botella de plástico,4100
1630016574,jpg,Jugo Florida Natural Naranja No Pulp – 2630 ml,Bebibas,Botella de plástico,6650
4850020277,jpg,Jugo Naranja Con Calcio Tropicana – 1530 ml,Bebibas,Botella de plástico,3550
744107411249,jpg,Agua De Pipa – 8 oz,Bebibas,Botella de plástico,900
4850020276,jpg,Jugo Naranja Mucha Pulpa Tropican – 1530 ml,Bebibas,Botella de plástico,3550
744107413164,jpg,Jugo De Limón – 360 ml,Bebibas,Botella de plástico,2000
4850020274,jpg,Jugo De Naranja Sin Pulpa Tropicana – 1530 ml,Bebibas,Botella de plástico,3550
4850020275,jpg,Jugo De Naranja Pulpa Tropicana – 1530 ml,Bebibas,Botella de plástico,3550
744107411248,jpg,Agua De Pipa – 930 ml,Bebibas,Botella de plástico,2880
744100161902,jpg,Jugo Dos Pinos Naranja Natural – 250 ml ,Bebibas,Tetra brick,450
744100161913,jpg,Jugo De Naranja Con Zanahoria – 250 ml,Bebibas,Tetra brick,451
1630016828,jpg,Jugo Florida Natural Naranja  – 1500 ml,Bebibas,Tetra brick,3620
1630016825,jpg,Jugo Floridas Natural Toronja – 1500 ml,Bebibas,Tetra brick,3550
1630016831,jpg,Jugo Florida Natural Naranja Some Pulp  – 1500 ml,Bebibas,Tetra brick,3500
744100161808,jpg,Refresco Dos Pinos Disfruta Mix Frutas – 1800 ml,Bebibas,Tetra brick,1030
744101351203,jpg,Refresco Coronado Naranja – 3785 ml,Bebibas,Botella de plástico,2050
744100163252,jpg,Jugo Dos Pinos Naranja - 1800 ml ,Bebibas,Tetra brick,2750
744100161928,jpg,Jugo Dos Pinos Naranja Con Zanahoria – 1800 ml,Bebibas,Tetra brick,1720
1630016575,jpg,Jugo Florida Natural Naranja Some Pulp,Bebibas,Botella de plástico,6650
744100161927,jpg,Jugo Dos Pinos Naranja - 1800 ml ,Bebibas,Tetra brick,1640
744100161904,jpg,Jugo Dos Pinos Naranja Refrigerada – 1000 ml,Bebibas,Tetra brick,880
744100161903,jpg,Jugo Dos Pinos Naranja Pure – 500 ml,Bebibas,Tetra brick,730
744100161553,jpg,Refresco Dos Pinos Mix Frutas – 946 ml,Bebibas,Tetra brick,540
